Matrícula,Nome do Aluno,E-mail,(1º Período) Ativ. Integradoras I,(1º Período) Bases Morfofuncionais,(1º Período) Bioquímica Mol. e Metab. I,(1º Período) Fund. Pesquisa Medicina I,(1º Período) Saúde e Sociedade I,(1º Período) Sociologia e Antropologia I,(2º Período) Ativ. Integradoras II,(2º Período) Biologia Molecular,(2º Período) Bioquímica Mol. e Metab. II,(2º Período) Habilidades Médicas I,(2º Período) Saúde e Sociedade II,(2º Período) Sist. Int. - Nervoso/Endócrino,(2º Período) Sist. Int. - Digestório/Reprodutor,(3º Período) Ativ. Integradoras III,(3º Período) Interação Agente Hosp. I,(3º Período) Imunologia Básica,(3º Período) Farmacologia I,(3º Período) Fund. Pesquisa Medicina II,(3º Período) Habilidades Médicas II,(3º Período) Saúde e Sociedade III,(3º Período) Sist. Int. - Cardiocirc.,(3º Período) Sist. Int. - Resp./Urinário,(3º Período) Sociologia e Antropologia II,(4º Período) Imunologia Clínica,(4º Período) Interação Agente Hosp. II,(4º Período) Farmacologia II,(4º Período) Fisiopatologia,(4º Período) Habilidades Médicas III,(4º Período) Patologia Geral,(4º Período) Saúde Mental I,(4º Período) Semiologia I,(5º Período) Medicina Legal,(5º Período) Patologia Especial,(5º Período) Saúde Mental II,(5º Período) Semiologia II,(5º Período) Semiologia Criança/Adol.,(6º Período) Dermatologia,(6º Período) Doenças Infec. e Parasitárias,(6º Período) Epidemiologia Clínica,(6º Período) Raciocínio Clínico,(6º Período) Otorrinolaringologia,(6º Período) Semiologia Ginec./Obst.,(7º Período) Clínica Criança/Adol.,(7º Período) Clínica Ginec./Obst.,(7º Período) Clínica Médica I,(7º Período) Ortopedia,(7º Período) Oftalmologia,(8º Período) Clínica Cirúrgica,(8º Período) Clínica Médica II,(8º Período) Saúde Mental III,(8º Período) Urgência e Emergência,(9º Período) Internato Clínica Médica,(9º Período) Internato Pediatria,(10º Período) Internato Cirurgia,(10º Período) Internato Ginecologia/Obstetrícia,(11º Período) Internato Saúde Mental,(11º Período) Internato Urgência e Emergência,(12º Período) Internato Saúde da Família,(12º Período) Internato Eletivo
20230011,Ana Rodrigues Souza,ana.rodrigues.souza@medicina.ficticio.edu,5.6,6.4,9.7,7.0,5.4,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230012,Igor Silva Gomes,igor.silva.gomes@medicina.ficticio.edu,9.9,9.8,9.7,8.1,5.5,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230013,Pedro Martins Souza,pedro.martins.souza@medicina.ficticio.edu,8.7,6.4,8.1,8.4,9.1,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230014,Gabriel Rodrigues Santos,gabriel.rodrigues.santos@medicina.ficticio.edu,7.0,5.1,7.5,6.2,6.5,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230015,Daniela Carvalho Pereira,daniela.carvalho.pereira@medicina.ficticio.edu,6.3,6.1,7.6,9.8,6.1,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230016,Helena Ferreira Lima,helena.ferreira.lima@medicina.ficticio.edu,5.1,6.6,7.4,7.8,6.5,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230017,Olivia Costa Ribeiro,olivia.costa.ribeiro@medicina.ficticio.edu,8.4,9.7,6.4,10.0,8.9,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230018,Julia Alves Silva,julia.alves.silva@medicina.ficticio.edu,5.8,9.9,9.7,5.0,7.6,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230019,Julia Ribeiro Ribeiro,julia.ribeiro.ribeiro@medicina.ficticio.edu,5.3,7.7,8.3,7.6,5.6,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230020,Ursula Oliveira Almeida,ursula.oliveira.almeida@medicina.ficticio.edu,6.0,6.6,9.1,5.4,8.0,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230021,Rafael Rodrigues Lima,rafael.rodrigues.lima@medicina.ficticio.edu,8.1,6.0,6.6,7.8,5.3,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230022,Mariana Carvalho Pereira,mariana.carvalho.pereira@medicina.ficticio.edu,8.7,5.0,6.0,5.2,5.8,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230023,Ana Martins Ribeiro,ana.martins.ribeiro@medicina.ficticio.edu,5.2,5.6,8.6,8.0,8.9,9.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230024,Sofia Almeida Gomes,sofia.almeida.gomes@medicina.ficticio.edu,8.3,6.8,7.8,6.6,6.0,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230025,Tiago Carvalho Carvalho,tiago.carvalho.carvalho@medicina.ficticio.edu,6.5,9.9,5.5,9.4,5.9,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230026,Quintino Almeida Martins,quintino.almeida.martins@medicina.ficticio.edu,9.9,9.3,5.5,9.7,8.1,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230027,Helena Alves Alves,helena.alves.alves@medicina.ficticio.edu,5.9,5.2,5.9,8.0,9.7,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230028,Nicolas Rodrigues Ribeiro,nicolas.rodrigues.ribeiro@medicina.ficticio.edu,6.4,7.5,7.4,6.2,9.0,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230029,Pedro Rodrigues Ferreira,pedro.rodrigues.ferreira@medicina.ficticio.edu,9.3,5.3,5.6,9.7,5.6,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230030,Ana Gomes Martins,ana.gomes.martins@medicina.ficticio.edu,6.8,7.1,7.6,7.2,8.2,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230031,Bruno Souza Martins,bruno.souza.martins@medicina.ficticio.edu,9.4,5.5,6.0,8.6,9.4,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230032,Ursula Souza Costa,ursula.souza.costa@medicina.ficticio.edu,5.6,8.3,6.5,7.5,6.3,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230033,Ana Almeida Martins,ana.almeida.martins@medicina.ficticio.edu,8.0,8.0,8.4,5.7,7.4,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230034,Bruno Rodrigues Martins,bruno.rodrigues.martins@medicina.ficticio.edu,6.0,6.7,6.7,8.8,7.6,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230035,Pedro Carvalho Gomes,pedro.carvalho.gomes@medicina.ficticio.edu,9.9,5.6,9.4,9.4,9.8,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230036,Mariana Rodrigues Gomes,mariana.rodrigues.gomes@medicina.ficticio.edu,7.1,5.3,5.6,5.7,7.5,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230037,Sofia Costa Lima,sofia.costa.lima@medicina.ficticio.edu,6.8,5.2,8.9,7.6,9.3,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230038,Carlos Souza Gomes,carlos.souza.gomes@medicina.ficticio.edu,6.6,8.4,5.9,7.2,9.1,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230039,Daniela Almeida Oliveira,daniela.almeida.oliveira@medicina.ficticio.edu,5.3,7.6,5.5,8.3,6.6,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230040,Yasmin Oliveira Carvalho,yasmin.oliveira.carvalho@medicina.ficticio.edu,7.6,7.1,9.4,7.4,6.0,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230041,Igor Santos Costa,igor.santos.costa@medicina.ficticio.edu,8.3,7.8,5.5,9.2,5.0,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230042,Fernanda Rodrigues Ribeiro,fernanda.rodrigues.ribeiro@medicina.ficticio.edu,6.3,5.2,5.1,9.7,5.4,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230043,Mariana Oliveira Pereira,mariana.oliveira.pereira@medicina.ficticio.edu,9.1,7.3,8.4,5.4,9.4,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230044,Olivia Gomes Carvalho,olivia.gomes.carvalho@medicina.ficticio.edu,5.6,8.1,9.0,5.5,8.0,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230045,Vitor Santos Rodrigues,vitor.santos.rodrigues@medicina.ficticio.edu,8.8,9.1,7.6,5.6,10.0,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230046,Mariana Ferreira Martins,mariana.ferreira.martins@medicina.ficticio.edu,5.8,9.0,7.9,6.9,6.9,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230047,Helena Lima Martins,helena.lima.martins@medicina.ficticio.edu,9.7,7.0,5.0,7.4,8.3,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230048,Rafael Ferreira Silva,rafael.ferreira.silva@medicina.ficticio.edu,7.9,7.1,6.2,5.7,7.7,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230049,Mariana Santos Ribeiro,mariana.santos.ribeiro@medicina.ficticio.edu,8.2,7.6,5.5,7.9,6.7,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230050,Ana Carvalho Ribeiro,ana.carvalho.ribeiro@medicina.ficticio.edu,7.6,6.5,7.8,6.2,5.5,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230051,Tiago Ferreira Pereira,tiago.ferreira.pereira@medicina.ficticio.edu,8.6,5.2,8.9,9.7,5.1,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230052,Quintino Alves Ferreira,quintino.alves.ferreira@medicina.ficticio.edu,5.7,8.0,8.7,6.9,6.4,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230053,Carlos Lima Martins,carlos.lima.martins@medicina.ficticio.edu,8.6,9.4,7.8,6.8,8.4,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230054,Helena Silva Almeida,helena.silva.almeida@medicina.ficticio.edu,8.1,6.6,5.5,7.0,5.8,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230055,Ursula Souza Gomes,ursula.souza.gomes@medicina.ficticio.edu,9.9,8.6,9.4,8.5,5.4,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230056,Ursula Silva Oliveira,ursula.silva.oliveira@medicina.ficticio.edu,8.0,8.7,5.7,7.3,6.3,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230057,Tiago Rodrigues Oliveira,tiago.rodrigues.oliveira@medicina.ficticio.edu,8.0,9.9,6.6,7.6,6.1,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230058,Olivia Carvalho Ferreira,olivia.carvalho.ferreira@medicina.ficticio.edu,8.1,8.0,6.9,8.6,5.6,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230059,Igor Lima Gomes,igor.lima.gomes@medicina.ficticio.edu,6.0,9.6,8.5,8.1,7.5,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230060,Rafael Pereira Ribeiro,rafael.pereira.ribeiro@medicina.ficticio.edu,7.8,6.1,8.9,6.7,8.2,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230061,Yasmin Oliveira Santos,yasmin.oliveira.santos@medicina.ficticio.edu,8.9,5.2,8.8,9.6,9.8,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230062,Lucas Lima Rodrigues,lucas.lima.rodrigues@medicina.ficticio.edu,6.1,7.8,6.5,6.0,7.3,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230063,Rafael Alves Alves,rafael.alves.alves@medicina.ficticio.edu,6.6,5.3,7.2,7.5,9.9,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230064,Gabriel Lima Ferreira,gabriel.lima.ferreira@medicina.ficticio.edu,7.2,8.8,7.2,6.7,9.4,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230065,Daniela Ribeiro Pereira,daniela.ribeiro.pereira@medicina.ficticio.edu,9.6,9.3,6.9,6.5,7.3,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230066,Fernanda Souza Oliveira,fernanda.souza.oliveira@medicina.ficticio.edu,7.9,8.1,6.3,6.8,7.0,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230067,Fernanda Alves Rodrigues,fernanda.alves.rodrigues@medicina.ficticio.edu,5.4,5.6,7.5,8.8,6.8,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230068,Olivia Costa Almeida,olivia.costa.almeida@medicina.ficticio.edu,7.6,8.9,5.7,8.3,7.8,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230069,Daniela Martins Ribeiro,daniela.martins.ribeiro@medicina.ficticio.edu,9.8,5.0,7.6,6.4,8.7,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230070,Julia Pereira Costa,julia.pereira.costa@medicina.ficticio.edu,7.1,7.9,5.5,9.3,9.8,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230071,Bruno Ribeiro Silva,bruno.ribeiro.silva@medicina.ficticio.edu,8.0,8.8,8.8,9.4,9.2,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230072,Ursula Santos Carvalho,ursula.santos.carvalho@medicina.ficticio.edu,9.4,6.2,6.6,9.8,7.2,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230073,Igor Pereira Gomes,igor.pereira.gomes@medicina.ficticio.edu,9.9,8.6,9.1,6.1,10.0,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230074,Julia Costa Silva,julia.costa.silva@medicina.ficticio.edu,5.8,8.5,5.9,7.6,6.8,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230075,Igor Silva Ferreira,igor.silva.ferreira@medicina.ficticio.edu,8.0,8.9,7.1,6.8,8.5,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230076,Lucas Lima Alves,lucas.lima.alves@medicina.ficticio.edu,6.5,7.4,9.9,7.4,7.0,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230077,Yasmin Carvalho Rodrigues,yasmin.carvalho.rodrigues@medicina.ficticio.edu,6.8,9.4,9.4,7.8,7.1,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230078,Carlos Oliveira Almeida,carlos.oliveira.almeida@medicina.ficticio.edu,7.0,10.0,5.2,9.2,9.5,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230079,Gabriel Silva Souza,gabriel.silva.souza@medicina.ficticio.edu,9.9,9.0,8.5,5.9,6.5,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230080,Ursula Lima Costa,ursula.lima.costa@medicina.ficticio.edu,7.9,8.4,7.2,8.4,8.1,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230081,Mariana Oliveira Pereira,mariana.oliveira.pereira@medicina.ficticio.edu,7.6,9.2,8.4,9.1,9.3,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230082,Zeca Costa Alves,zeca.costa.alves@medicina.ficticio.edu,7.7,5.9,9.0,9.2,7.6,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230083,Helena Martins Santos,helena.martins.santos@medicina.ficticio.edu,6.7,7.4,9.9,9.6,7.3,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230084,Tiago Alves Ribeiro,tiago.alves.ribeiro@medicina.ficticio.edu,7.1,6.6,7.2,6.7,6.1,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230085,Bruno Ribeiro Oliveira,bruno.ribeiro.oliveira@medicina.ficticio.edu,6.4,8.0,5.6,9.1,7.4,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230086,Bruno Pereira Almeida,bruno.pereira.almeida@medicina.ficticio.edu,8.5,5.9,9.7,7.7,9.6,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230087,Olivia Martins Ferreira,olivia.martins.ferreira@medicina.ficticio.edu,5.2,6.8,9.9,5.9,6.5,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230088,Mariana Silva Almeida,mariana.silva.almeida@medicina.ficticio.edu,5.1,7.7,6.1,8.4,10.0,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230089,Gabriel Almeida Santos,gabriel.almeida.santos@medicina.ficticio.edu,9.2,9.3,7.0,8.6,6.6,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230090,Lucas Rodrigues Costa,lucas.rodrigues.costa@medicina.ficticio.edu,10.0,8.9,7.6,9.9,7.4,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230091,Carlos Rodrigues Alves,carlos.rodrigues.alves@medicina.ficticio.edu,8.5,6.6,6.4,5.4,5.1,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230092,Mariana Souza Ferreira,mariana.souza.ferreira@medicina.ficticio.edu,8.5,6.3,9.5,9.0,9.3,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230093,Eduardo Ferreira Souza,eduardo.ferreira.souza@medicina.ficticio.edu,7.3,5.8,5.1,5.9,9.6,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230094,Nicolas Costa Lima,nicolas.costa.lima@medicina.ficticio.edu,7.3,7.6,5.6,7.1,8.8,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230095,Olivia Souza Silva,olivia.souza.silva@medicina.ficticio.edu,9.7,9.2,6.5,7.0,7.2,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230096,Helena Ribeiro Lima,helena.ribeiro.lima@medicina.ficticio.edu,9.3,9.7,5.7,9.0,5.2,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230097,Olivia Ribeiro Oliveira,olivia.ribeiro.oliveira@medicina.ficticio.edu,7.0,8.6,8.1,9.7,5.3,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230098,Helena Alves Silva,helena.alves.silva@medicina.ficticio.edu,8.3,6.8,5.6,5.0,7.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230099,Ana Martins Santos,ana.martins.santos@medicina.ficticio.edu,9.2,7.3,7.4,7.8,6.8,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230100,Carlos Alves Pereira,carlos.alves.pereira@medicina.ficticio.edu,7.1,6.5,7.5,7.8,5.5,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
